,Order,Family,Species,Common name,Habitat,Feeding strategy,Trophic level,IUCN,Fisheries interest,G/GI,"Method 1,2,3",N,N of fish ingested,FO (%) ,PL (N/fish),Plastic type,Polymers,"Plastic size (mm)         < 1, 1-5, > 5",Life stage,Length (cm),Location,Region,Reference,Purpose of the study,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,Pollachius pollachius,Pollack,"N-O, BP",BP,4.3,NE,Y,GI,2,5,0,0.00,,,,,,,Atlantic North - UK,ATL N,"Murphy et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,n/a,,n/a,,yes,,plastic cups,,> 5,,,Atlantic North - English Channel,ATL N,"Anonymous, 1975",Incidence report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,Pollachius virens,Saithe,"N-O, D",BP,4.3,NE,Y,n/a,,1,1,100.00,1,plastic pellets,PS,,,3,Atlantic North - New England ,ATL N,"Carpenter et al., 1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,n/a,,n/a,,yes,,plastic cups,,> 5,,,Atlantic North - English Channel,ATL N,"Anonymous, 1975",Incidence report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,Trisopterus luscus,pout whiting,"N-O, BP",BP,3.7,NE,Y,G,1,3076,1,0.03,,,,,,21,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,n/a,,n/a,,yes,,plastic cups,,> 5,,,Atlantic North - English Channel,ATL N,"Anonymous, 1975",Incidence report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,G,2,1,0,0.00,,,,,,27,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,Trisopterus minutus,Poor cod,"N, D",BP,3.7,LC,Y,GI,2,50,20,40.00,2,fibres,rayon,1-5,J-A,,Atlantic North - English Channel,ATL N,"Lusher et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,GI,2,n/a,,yes,,fragment,,<1,larva,,Atlantic North - English Channel,ATL N,"Steer et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,G,1,2062,0,0.00,,,,,,,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,Lotidae,Ciliata mustela,Fivebeard rockling,"N, D",BP,3.5,NE,Y,GI, ,113,6,5.31,,plastic pellets,PS,1-5,,,Atlantic North - UK,ATL N,"Kartar et al., 1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,Gaidropsaurus macrophthalmus,Bigeye rockling,"N-O, D",BP,3.5,LC,Y,G,1,725,0,0.00,,,,,,,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,Molva macrophthalma,Spanish ling,"O, D",BP,4.5,NE,N,GI ,2,13,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,G,1,990,0,0.00,,,,,,,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,Molva molva,Ling ,"O, D",BP,4.4,NE,Y,GI,2,5,0,0.00,,,,,,,Atlantic North - UK,ATL N,"Murphy et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,Macrouridae,Coryphaenoides rupestris,Roundnose grenadier,"O, P",PP,3.5,CR,Y,GI,2,5,0,0.00,,,,,,,Atlantic North - UK,ATL N,"Murphy et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,Trachyrincus scabrus,Roughsnout grenadier,"O, BP",P,3.6,NE,Y,"G, GI, I",1,18,6,33.33,,fibres,PA,1-5,,28-41.3,Mediterranean - West,MED,"Cartes et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,Merlucciidae,Merluccius binilearis,Silver hake,"N, D",BP,4.5,NT,Y,GI,1,134,0,0.00,,,,,,,Atlantic North - Newfoundland,ATL N,"Liboiron et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,Merluccius merluccius,European Hake,"N-O, D",BP,4.4,NE,Y,GI,3,3,3,100.00,1.3,fragments,PE,< 1,,35,Mediterranean - Adriatic,MED,"Avio et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,G,2,12,3,25.00,1.3,fibres,"PE, PA, Ra, PEs, PMMA ",1-5,J-A,23-46,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,G,3,12,2,16.67,1,fibres,,< 1,,33.5,Atlantic North - Spain,ATL N,"Bellas et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,GI,2,36,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,G,1,16164,0,0.00,,,,,,,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,Moridae,Mora moro,Common mora,"O, P",BP,3.8,NE,Y,"G, GI, I",1,80,,yes,,,,,,29.3-50,Mediterranean - West,MED,"Cartes et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,GI ,2,19,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,Phycidae,Phycis blennoides,Greater forkbeard,"N-O, D",BP,3.7,NE,Y,GI,2,46,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,"G, GI, I",1,22,0,0.00,,,,,,25.1-49.5,Mediterranean - West,MED,"Cartes et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,G,1,1828,0,0.00,,,,,,,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,Phycis phycis ,Forkbeard,"N-O, D",BP,4.3,LC,Y,GI,3,8,7,87.50,3.4,fragments,PE,< 1,A,33,Mediterranean - Mid,MED,"Avio et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Gasterosteiformes,Gasterosteidae,Gasterosteus aculeatus,Three-spined stickleback,"N, BP",BP,3.3,LC,Y,GI,3,355,0,0.00,,,,,,3-7,Atlantic North -Baltic,ATL N,"Budimir et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Lampriformes,Lampridae,Lampris sp.,Big-eye moonfish/opah,"O, P",PP,4.2,NE,Y,G,1,115,49,42.61,2,fragments,,> 5,various,103.5,Pacific North - central and East,PAC N,"Choy & Drazen, 2013",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,Lampris sp.,Small-eye moonfish/opah,"O, P",PP,4.2,NE,Y,G,1,24,14,58.33,4.4,fragments,,> 5,various,105.3,Pacific North - central and East,PAC N,"Choy & Drazen, 2013",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,Lampris immaculatus,Southern opah,"O, P",PP,4.4,NE,BC,n/a,1,69,10,14.49,1,food packages,,> 5,A,142 TL,Atlantic South - Falkland Islands,ATL S,"Jackson et al., 2000",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Lophiiformes,Lophiidae,Lophius budegassa,Blackbellied angler,"N-O, B",BP,4.4,DD,Y,G,1,505,0,0.00,,,,,,,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,Lophius piscatorius,Angler,"N-O, D",BP,4.5,NE,Y,G,2,2,1,50.00,1,,,1-5,,,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,G,1,1382,0,0.00,,,,,,,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Mugiliformes,Mugilidae,Aldrichetta forsteri,Yellow-eye mullet,"N, D",O,2.5,NE,Y,"G, GI",2,17,0,0.00,,,,,,37.9,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,Chelon auratus,Golden grey mullet,"N, BP",O,2.8,LC,Y,GI,3,39,17,43.59,7.5,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,GI ,3,20,19,95.00,10,,,,,34.3,Mediterranean - Adriatic & Ionian Sea,MED,"Anastasopoulou et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,Ellochelon vaigiensis,Squaretail mullet,"N, BP",O,2.2,LC,Y,GI,3,33,16,48.48,4.3,fragments,,< 1,A,31TL,Pacific South - Tahiti,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,Liza haematocheila,So-iuy mullet,"N, BP",O,2.5,NE,Y,GI,3,18,18,100.00,4.4,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,Mugil cephalus,Flat-head grey mullet,"N, BP",O,2.5,LC,Y,GI,2,70,51,72.86,3.8,"fibres, fragments",,,J-sA,11-19.5,Indian Ocean - South Africa,IND,"Naido et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,GI,3,18,18,100.00,5.3,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,GI,3,22,3,13.64,2,fibres,,< 1,,,Pacific South - Auckland,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,GI,2,45,29,64.44,1,fibres,"ACR-PES, PES",,,25.2,Pacific South - Sydney Harbour,PAC S,"Halstead et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,"G, GI",2,43,0,0.00,,,,,,30.8,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,GI,3,30,18,60.00,7.2,fibres,"PE, PP, PES",1-5,,43,Pacific North - Hong Kong,PAC N,"Cheung et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,Mugil curema,White mullet,"N, BP",O,2,LC,Y,GI,2,186,,yes,,,,,,3-5,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,Mugil curvidens,Dwarf mullet,"N, BP",D,2,NE,N,GI,2,9,,no,,,,,,3,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,Mugil hospes,Hospe mullet,"N, BP",P,n/a,LC,Y,GI,2,28,,no,,,,,,4,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,Mugil incilis,Parassi mullet,"N, BP",D,2,LC,Y,GI,2,5,,no,,,,,,4,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,Mugil liza,Lebranche mullet,"N, BP",D,2,DD,Y,GI,2,2,,no,,,,,,2,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Myctophiformes,Myctophidae,Benthosema glaciale,Glacier lanternfish,"O, P",P,3,NE,N,GI,3,27,6,22.22,1.5,fibres,,1-5,,6,Atlantic North - Around UK,ATL N,"Lusher et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,G ,3,69,47,68.12,1.5,fibres,"PE, MethCell",< 1,A,5.8,Atlantic North - crossing W to E,ATL N,"Wieczorek etal., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,Benthosema pterotum,Skinnycheek lanternfish,"O, P",P,3.1,LC,N,GI,3,10,1,10.00,1,fibres,"PP, PE",1-5,,,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,Bolinichthys longipes,Popeye lampfish,"O, P",P,3.1,NE,N,G,2,3,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,Centrobranchus andreae,Andre's lanternfish,"O, P",P,3.4,NE,N,n/a,1,5,2,40.00,,,,,,5.1,Pacific North - Mariana Islands,PAC N,"Van Noord, 2013",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,Ceratoscopelus warmingii,Warming's lanternfish,"O, P",P,3.4,NE,Y,G,2,8,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,Diaphus anderseni,Andersen's lanternfish,"O, P",P,3.1,NE,N,G,2,13,2,15.38,1,fragments,,1-5,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,Diaphus fulgens,n/a,"O, P",P,3.1,NE,N,G,2,7,2,28.57,1,fragments,,1-5,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,Diaphus metopoclampus,Spothead lanternfish,"O, P",P,3.3,LC,N,G,?,296,1,0.34,1,fragments,,1-5,,73,Mediterranean - central,MED,"Romeo et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,Diaphus phillipsi,Bolin's lanternfish,"O, P",P,3.1,NE,N,G,2,1,1,100.00,1,fragments,,1-5,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,Diaphus rafinesquii,White-spotted lanternfish,"O, P",P,3.4,LC,N,G ,3,34,24,70.59,1.2,fibres,"PE, MethCell",< 1,A,7.5,Atlantic North - crossing W to E,ATL N,"Wieczorek etal., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,Diogenichthys atlanticus,Longfin lanternfish,"O, P",P,3.1,NE,Y,G,2,5,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,Electrona risso,Electric lanternfish,"O, P",P,3.4,LC,N,G,?,82,5,6.10,1,fragments,,1-5,,40,Mediterranean - central,MED,"Romeo et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,Gymnoscopelus nicholsi,Nichol's lanternfish,"N-O, P",P,3.4,NE,Y,"G, GI",2,39,0,0.00,,,,,,14.6,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,Hygophum benoiti,Benoit's lanternfish,"O, P",P,3,LC,N,G,?,73,5,6.85,1,fragments,,1-5,,42,Mediterranean - central,MED,"Romeo et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,Hygophum proximum,Firefly lanternfish,"O, P",P,3.2,LC,N,G,2,2,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,Hygophum reinhardtii,Reinhardt's lanternfish,"O, P",P,3.2,NE,Y,G,2,47,,yes,1.3,fragments,,1-5,,,Pacific North -  Subtropical Gyre,PAC N,"Boerger et al., 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,G,2,2,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,Lampadena urophaos,Sunbeam lampfish,"O, P",P,3.2,NE,Y,G,2,1,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,Lampanyctus crocodilus,Jewel lanternfish,"O, P",P,3.2,NE,N,GI,3,2,0,0.00,,,,,,10,Atlantic North - Around UK,ATL N,"Lusher et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,Lampanyctus macdonaldi,Rakery beaconlamp,"O, P",P,3.1,LC,N,G ,3,16,12,75.00,1.8,fibres,"PE, MethCell",< 1,,24.3,Atlantic North - crossing W to E,ATL N,"Wieczorek etal., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,Lobianchia gemellarii,Cocco's lanternfish,"O, P",P,3,NE,Y,G,2,3,1,33.33,1,fragments,,1-5,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,Loweina interrupta,n/a,"O, P",P,3.2,NE,Y,G,2,27,,yes,1,fragments,,1-5,,,Pacific North -  Subtropical Gyre,PAC N,"Boerger et al., 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,Myctophum aurolaternatum,Golden lanternfish,"O, P",P,3.5,NE,N,G,2,462,,yes,6,fragments,,1-5,,,Pacific North -  Subtropical Gyre,PAC N,"Boerger et al., 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,Mychtophum lychnobium,n/a,"O, P",P,3.2,LC,N,n/a,1,17,7,41.18,,,,,,5.5,Pacific North - Mariana Islands,PAC N,"Van Noord, 2013",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,Myctophum nitidulum,Pearly lanternfish,"O, P",P,3.4,NE,Y,G,2,25,4,16.00,1,fragments,,1-5,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,Myctophum punctatum,Spotted lanternfish,"O, P",P,3.4,NE,N,G,?,71,3,4.23,1,fragments,,1-5,,53,Mediterranean - central,MED,"Romeo et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,"O, P",,,,,G ,3,86,64,74.42,2.3,fibres,"PE, MethCell",< 1,A,6.8,Atlantic North - crossing W to E,ATL N,"Wieczorek etal., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,GI,3,3,0,0.00,,,,,,7.8,Atlantic North - Around UK,ATL N,"Lusher et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,Nannobrachium fernae,n/a,"O, P",P,3.1,NE,N,G,2,1,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,Nannobrachium hawaiiensis,n/a,"O, P",P,3.1,NE,N,G,2,17,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,Nannobrachium regale,Pinpoint lampfish,"O, P",P,3.2,NE,N,G,2,1,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,Notolychnus valdiviae,Topside lampfish,"O, P",P,3.1,NE,Y,G,2,3,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,Notoscopelus kroyeri,Lancet fish,"O, P",P,3.2,NE,N,GI,3,417,60,14.39,1.1,fibres,,1-5,,10,Atlantic North - Around UK,ATL N,"Lusher et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,Notoscopelus resplendens,Patchwork lampfish,"O, P",P,3,NE,Y,G,2,3,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,Symbolophorus californiensis,Bigfin lanternfish,"O, P",P,3.1,NE,N,G,2,74,,yes,7.2,fragments,,1-5,,,Pacific North -  Subtropical Gyre,PAC N,"Boerger et al., 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,Symbolophorus evermanni,Evermann's lanternfish,"O, P",P,3.4,NE,N,n/a,1,14,1,7.14,,,,,,5.9,Pacific North - Mariana Islands,PAC N,"Van Noord, 2013",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,Taaningichthys bathyphilus,Deepwater lanternfish,"O, P",P,3.1,NE,Y,G,2,3,0,0.00,,,,,A,<20 SL,Pacific North -  Subtropical Gyre,PAC N,"Davison & Asch, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Ophidiiformes,Bythidiae,Cataetyx laticeps,n/a,"O, D",BP,3.8,NE,N,"G, GI, I",1,10,1,10.00,,fibres,PA,1-5,,30.2-46.7,Mediterranean - West,MED,"Cartes et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Osmeriformes,Alepocephalidae,Alepocephalus rostratus,Risso's smooth-head,"O, D",BP,3.7,NE,N,"G, GI, I",1,158,0,0.00,,,,,,27.8-43.9,Mediterranean - West,MED,"Cartes et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,Xenodermichthys copei,Bluntsnout smooth-head,"O, P",P,3.2,NE,N,GI,3,5,3,60.00,2,fibres,,1-5,,14,Atlantic North - Around UK,ATL N,"Lusher et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,Argentinidae,Argentina silus,Greater argentine,"O, P",P,3.3,NE,Y,GI,2,15,1,6.67,1,fibres,"PA, PET, acr",,,,Atlantic North - UK,ATL N,"Murphy et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,Osmeridae,Osmerus eperlanus,European smelt,"N, BP",P,3.5,LC,Y,GI,2,10,2,20.00,,fibres,,,A,,Atlantic North - UK,ATL N,"McGoran et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Perciformes,Acanthuridae,Acanthurus coeruleus,Blue tang surgeonfish,"N, B",G,2,LC,Y,G ,2,1,0,0.00,,,,,,,Atlantic South - Brazil,ATL S,"Miranda & de Carvalho-Souza, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,Acanthurus gahhm,Black surgeonfish,"N, B",O,2.8,LC,Y,GI ,3,10,1,10.00,1,fibres,"PP, PE",1-5,,33.8,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,Acanthurus lineatus,Lined surgeonfish,"N, B",G,2,LC,Y,GI,3,24,4,16.67,1.5,fibres,,< 1,,23TL,Pacific South - Central Apia,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,Acanthurus sohal,Sohal surgeonfish,"N, B",G,2,LC,Y,GI,3,3,0,0.00,,,,,,18.9,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,Ctenochaetus striatus,Striated surgeonfish,"N, B",G,2,LC,Y,GI,3,27,7,25.93,1.6,fragments,,< 1,A,20TL,Pacific South - Tahiti,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,GI,3,29,6,20.69,1,film ,,< 1,,22TL,Pacific South - Central Apia,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,Naso brachycentron,Humpback unicornfish,"N, B",G,2.7,LC,Y,GI,1,1,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,Naso lituratus,Orangespine unicornfish,"N, B",G,2.3,LC,Y,GI,3,28,4,14.29,1.8,film,,< 1,,24TL,Pacific South - Central Apia,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
